paper_id,judge_model,judge_prompt,generator_model,summary_style,completeness_and_relevance.score,factual_accuracy.score,hallucination.score,prompt_following.score,research_question.score,terminology_explanation_and_coherence.score
sky_prompt_revision_bias,gemini,full,anthropic,long,10,10,10,0,10,9
LightGCN,gemini,full,anthropic,long,9,9,10,0,10,8
LouvainAlgorithm,gemini,full,anthropic,long,8,8,10,0,10,9
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,full,anthropic,long,10,10,10,0,10,10
Reversing_Large_Language_Models,gemini,full,anthropic,long,8,10,10,0,7,7
unifiedquantum,gemini,full,anthropic,long,10,10,10,0,10,7
Multiscale_Training_GNNs,gemini,full,anthropic,long,5,5,10,0,10,7
Exoskeletons_Stroke,gemini,full,anthropic,long,5,10,10,0,0,10
Digital_Health_in_Stroke_Rehab,gemini,full,anthropic,long,7,8,10,0,0,7
sky_crowdsource_lameness,gemini,full,anthropic,long,10,10,10,0,10,10
ispforquantumchem,gemini,full,anthropic,long,5,8,10,0,10,7
thorax-2025-223770.full,gemini,full,anthropic,long,7,8,10,0,10,9
YamakawaZhandry,gemini,full,anthropic,long,8,10,10,0,8,7
2022_BMJ_Christmas_on the 12th day,gemini,full,anthropic,long,5,0,10,0,0,5
sky_redefine_lameness,gemini,full,anthropic,long,10,10,10,0,9,9
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,full,anthropic,long,0,2,5,0,10,8
Glove_Stroke,gemini,full,anthropic,long,10,10,10,0,10,8
debertnext,gemini,full,anthropic,long,5,8,10,0,10,10
sky_dominance_calculation,gemini,full,anthropic,long,10,10,10,0,10,8
VR_Robotics_Stroke_Rehab,gemini,full,llama3,shuffle,8,8,10,10,10,10
sky_prompt_revision_bias,gemini,full,llama3,shuffle,0,0,0,0,0,7
LightGCN,gemini,full,llama3,shuffle,7,8,5,10,8,7
LouvainAlgorithm,gemini,full,llama3,shuffle,8,5,5,10,10,8
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,full,llama3,shuffle,8,7,5,10,10,8
Reversing_Large_Language_Models,gemini,full,llama3,shuffle,8,10,10,10,8,7
unifiedquantum,gemini,full,llama3,shuffle,1,2,5,10,3,4
Multiscale_Training_GNNs,gemini,full,llama3,shuffle,7,10,10,0,8,6
Exoskeletons_Stroke,gemini,full,llama3,shuffle,9,8,10,10,10,10
Digital_Health_in_Stroke_Rehab,gemini,full,llama3,shuffle,5,5,0,10,5,10
sky_crowdsource_lameness,gemini,full,llama3,shuffle,7,7,5,10,8,6
ispforquantumchem,gemini,full,llama3,shuffle,0,10,10,0,0,10
thorax-2025-223770.full,gemini,full,llama3,shuffle,5,4,5,10,10,8
YamakawaZhandry,gemini,full,llama3,shuffle,0,0,0,0,0,0
2022_BMJ_Christmas_on the 12th day,gemini,full,llama3,shuffle,0,5,5,10,0,5
sky_redefine_lameness,gemini,full,llama3,shuffle,3,5,5,5,2,4
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,full,llama3,shuffle,0,0,0,10,0,0
Glove_Stroke,gemini,full,llama3,shuffle,8,8,10,10,10,10
debertnext,gemini,full,llama3,shuffle,7,7,7,10,8,8
sky_dominance_calculation,gemini,full,llama3,shuffle,5,7,5,10,8,9
VR_Robotics_Stroke_Rehab,gemini,full,llama3,bullets,10,10,10,10,10,8
sky_prompt_revision_bias,gemini,full,llama3,bullets,0,5,10,5,0,7
LightGCN,gemini,full,llama3,bullets,8,8,5,5,10,7
LouvainAlgorithm,gemini,full,llama3,bullets,8,6,7,0,8,7
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,full,llama3,bullets,8,7,5,0,8,8
Reversing_Large_Language_Models,gemini,full,llama3,bullets,10,10,10,0,8,6
unifiedquantum,gemini,full,llama3,bullets,0,0,0,0,2,2
Multiscale_Training_GNNs,gemini,full,llama3,bullets,10,10,10,0,7,7
Exoskeletons_Stroke,gemini,full,llama3,bullets,10,8,10,0,10,10
Digital_Health_in_Stroke_Rehab,gemini,full,llama3,bullets,7,5,5,5,5,10
sky_crowdsource_lameness,gemini,full,llama3,bullets,8,7,7,7,8,9
ispforquantumchem,gemini,full,llama3,bullets,0,0,0,0,1,1
thorax-2025-223770.full,gemini,full,llama3,bullets,7,3,3,0,10,8
YamakawaZhandry,gemini,full,llama3,bullets,0,10,10,0,0,10
2022_BMJ_Christmas_on the 12th day,gemini,full,llama3,bullets,5,10,10,0,0,5
sky_redefine_lameness,gemini,full,llama3,bullets,0,5,10,0,0,5
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,full,llama3,bullets,6,5,4,5,8,7
Glove_Stroke,gemini,full,llama3,bullets,7,8,5,0,10,10
debertnext,gemini,full,llama3,bullets,8,10,10,0,8,7
sky_dominance_calculation,gemini,full,llama3,bullets,7,8,5,0,8,10
VR_Robotics_Stroke_Rehab,gemini,full,openai,paraphrase,10,10,10,10,10,10
sky_prompt_revision_bias,gemini,full,openai,paraphrase,10,10,10,5,9,9
LightGCN,gemini,full,openai,paraphrase,10,10,10,10,10,9
LouvainAlgorithm,gemini,full,openai,paraphrase,10,10,10,10,10,9
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,full,openai,paraphrase,10,10,10,10,10,8
Reversing_Large_Language_Models,gemini,full,openai,paraphrase,10,10,10,5,10,9
unifiedquantum,gemini,full,openai,paraphrase,9,9,10,0,9,8
Multiscale_Training_GNNs,gemini,full,openai,paraphrase,10,10,10,0,10,8
Exoskeletons_Stroke,gemini,full,openai,paraphrase,10,10,10,0,10,9
Digital_Health_in_Stroke_Rehab,gemini,full,openai,paraphrase,10,10,10,0,8,10
sky_crowdsource_lameness,gemini,full,openai,paraphrase,10,10,10,10,10,9
ispforquantumchem,gemini,full,openai,paraphrase,10,10,10,0,10,8
thorax-2025-223770.full,gemini,full,openai,paraphrase,10,10,10,5,10,9
YamakawaZhandry,gemini,full,openai,paraphrase,10,9,10,0,10,7
2022_BMJ_Christmas_on the 12th day,gemini,full,openai,paraphrase,10,10,10,0,10,8
sky_redefine_lameness,gemini,full,openai,paraphrase,10,10,10,0,10,8
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,full,openai,paraphrase,10,10,10,5,10,9
Glove_Stroke,gemini,full,openai,paraphrase,10,10,10,5,10,10
debertnext,gemini,full,openai,paraphrase,10,10,10,10,10,9
sky_dominance_calculation,gemini,full,openai,paraphrase,10,9,10,0,10,8
VR_Robotics_Stroke_Rehab,gemini,full,llama3,paraphrase,7,7,10,5,8,9
sky_prompt_revision_bias,gemini,full,llama3,paraphrase,0,5,5,0,0,7
LightGCN,gemini,full,llama3,paraphrase,9,9,9,10,10,8
LouvainAlgorithm,gemini,full,llama3,paraphrase,8,7,6,9,9,9
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,full,llama3,paraphrase,6,6,5,0,8,8
Reversing_Large_Language_Models,gemini,full,llama3,paraphrase,9,10,10,10,8,7
unifiedquantum,gemini,full,llama3,paraphrase,0,0,0,10,2,0
Multiscale_Training_GNNs,gemini,full,llama3,paraphrase,8,10,10,0,7,8
Exoskeletons_Stroke,gemini,full,llama3,paraphrase,10,9,10,10,10,10
Digital_Health_in_Stroke_Rehab,gemini,full,llama3,paraphrase,5,0,0,10,10,8
sky_crowdsource_lameness,gemini,full,llama3,paraphrase,7,7,5,5,8,7
ispforquantumchem,gemini,full,llama3,paraphrase,0,10,10,0,0,10
thorax-2025-223770.full,gemini,full,llama3,paraphrase,7,7,5,10,10,8
YamakawaZhandry,gemini,full,llama3,paraphrase,0,0,10,0,0,0
2022_BMJ_Christmas_on the 12th day,gemini,full,llama3,paraphrase,7,10,10,10,0,7
sky_redefine_lameness,gemini,full,llama3,paraphrase,0,5,5,0,0,5
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,full,llama3,paraphrase,3,2,2,10,8,6
Glove_Stroke,gemini,full,llama3,paraphrase,10,10,10,10,10,10
debertnext,gemini,full,llama3,paraphrase,8,10,10,7,8,7
sky_dominance_calculation,gemini,full,llama3,paraphrase,7,7,5,0,8,8
VR_Robotics_Stroke_Rehab,gemini,full,gemini,paraphrase,10,10,10,10,10,10
sky_prompt_revision_bias,gemini,full,gemini,paraphrase,10,10,10,10,9,10
LightGCN,gemini,full,gemini,paraphrase,10,10,10,10,10,8
LouvainAlgorithm,gemini,full,gemini,paraphrase,10,10,10,10,10,8
2020_Hamid T_Predicting Severe COPD exacerbations_population surveillance approach,gemini,full,gemini,paraphrase,10,10,10,10,10,8
Reversing_Large_Language_Models,gemini,full,gemini,paraphrase,10,10,10,10,10,10
unifiedquantum,gemini,full,gemini,paraphrase,10,10,10,0,9,8
Multiscale_Training_GNNs,gemini,full,gemini,paraphrase,10,10,10,10,10,8
Exoskeletons_Stroke,gemini,full,gemini,paraphrase,10,10,10,10,10,9
Digital_Health_in_Stroke_Rehab,gemini,full,gemini,paraphrase,10,10,10,10,10,10
sky_crowdsource_lameness,gemini,full,gemini,paraphrase,10,10,10,10,10,10
ispforquantumchem,gemini,full,gemini,paraphrase,10,10,10,5,10,7
thorax-2025-223770.full,gemini,full,gemini,paraphrase,9,9,10,10,10,10
YamakawaZhandry,gemini,full,gemini,paraphrase,9,9,10,0,9,8
2022_BMJ_Christmas_on the 12th day,gemini,full,gemini,paraphrase,10,10,10,10,10,9
sky_redefine_lameness,gemini,full,gemini,paraphrase,10,10,10,10,10,8
2016_Vergouwe_A closed testing procedure to select an appropriate method for updating_Statistics in Medicine,gemini,full,gemini,paraphrase,10,10,10,5,10,8
Glove_Stroke,gemini,full,gemini,paraphrase,10,10,10,10,10,10
debertnext,gemini,full,gemini,paraphrase,10,10,10,0,10,9
sky_dominance_calculation,gemini,full,gemini,paraphrase,10,10,10,10,9,9
